keys,en,nl
HUB_FACTION_TITLE,"CHOOSE YOUR FACTION","KIES JE FACTIE"
HUB_FACTION_EXPLAIN,"Your faction is locked in for the entire campaign.","Je factie staat vast voor de hele campagne."
HUB_FACTION_BTN,"%s
+ %s
- %s","%s
+ %s
- %s"
HUB_LEDGER_BTN,"Ledger","Grootboek"
HUB_BOTS_BUSY,"The bots are at work...","De bots zijn bezig..."
HUB_WAIT_NEXT_PHASE,"Awaiting the next phase.","Wachten op de volgende fase."
HUB_PHASE_NOMINATION,"The Council nominates","De Raad nomineert"
HUB_PHASE_DONATION,"Donation window","Donatie-venster"
HUB_PHASE_DUELS,"The duels","De duels"
HUB_PHASE_TESTAMENT,"Last will","Testament"
HUB_PHASE_CIVIL_WAR,"CIVIL WAR","BURGEROORLOG"
HUB_PHASE_OVER,"Campaign over","Campagne voorbij"
HUB_HEADER,"Round %d — %s","Ronde %d — %s"
HUB_CHAMPION,"CHAMPION: %s","KAMPIOEN: %s"
HUB_BALANCE,"You (%s, team %d): %d soldiers · %d cavalry · %d cannons · %d CP · %d points%s","Jij (%s, team %d): %d soldaten · %d cavalerie · %d kanonnen · %d CP · %d punten%s"
HUB_ELIMINATED_SUFFIX,"  [ELIMINATED — you now see everything]","  [UITGEVALLEN — je ziet nu alles]"
HUB_TEAM_YOURS,"YOUR TEAM","JOUW TEAM"
HUB_TEAM_ENEMY,"THE ENEMY","DE VIJAND"
HUB_YOU_SUFFIX," (you)"," (jij)"
HUB_FIGHTING_SUFFIX,"  [FIGHTING]","  [VECHT]"
HUB_FALLEN,"fallen","gevallen"
HUB_MEMBER_BALANCE,"%d·%d·%d · %d CP · %d pts","%d·%d·%d · %d CP · %d pt"
HUB_FEED_BARK,"R%d · %s: ""%s""","R%d · %s: ""%s"""
HUB_DRAW,"draw","remise"
HUB_WINS_SHORT,"%s wins (%s)","%s wint (%s)"
HUB_FEED_REPORT,"R%d · BATTLE REPORT: %s vs %s — %s, %d cycles","R%d · BATTLEREPORT: %s vs %s — %s, %d cycli"
HUB_REPORT_TOOLTIP,"Tap for the full battle report","Tik voor het volledige battlereport"
HUB_REPORT_DRAW,"Draw — one tiebreak point each.","Remise — beide een tiebreak-punt."
HUB_REPORT_WINS,"%s wins by %s.","%s wint via %s."
HUB_REPORT_HEADER,"%s vs %s, round %d — %s (%d cycles)","%s vs %s, ronde %d — %s (%d cycli)"
HUB_REPORT_LOSSES,"%s: -%d soldiers, -%d cavalry, -%d cannons · CP %+d","%s: -%d soldaten, -%d cavalerie, -%d kanonnen · CP %+d"
HUB_REPORT_TITLE,"Battle report","Battlereport"
HUB_CLOSE,"Close","Sluiten"
HUB_NOMINATE_TITLE,"Your team nominates: pick the fighters.","Jouw team nomineert: kies de vechters."
HUB_NAME_YOU,"%s (you)","%s (jij)"
HUB_VOTE_BTN,"Vote","Stem"
HUB_DUEL_TITLE,"YOUR DUEL: you against %s. Everything you own goes onto the board — what you lose is gone, what you spare you keep.","JOUW DUEL: jij tegen %s. Je hele bezit gaat mee het bord op — wat je verliest ben je kwijt, wat je spaart neem je mee."
HUB_DUEL_PLAY_BTN,"Play the duel on the board","Speel het duel op het bord"
HUB_DUEL_PAIRS_TITLE,"THE PAIRINGS THIS ROUND","DE PAREN VAN DEZE RONDE"
HUB_DUEL_AUTO,"Your duel starts automatically in a moment...","Je duel begint zo vanzelf..."
HUB_DUEL_STAY_BTN,"Stay in the hub for now","Blijf even in de hub"
HUB_DUEL_LOADING,"Loading your duel against %s...","Je duel tegen %s wordt geladen..."
HUB_DONATE_TITLE,"Donate to a teammate (max 10 pawns / 3 CP per recipient), or keep it all.","Doneer aan een teamgenoot (max 10 pionnen / 3 CP per ontvanger), of houd alles."
HUB_UNIT_INF,"inf","inf"
HUB_UNIT_CAV,"cav","cav"
HUB_UNIT_ART,"art","art"
HUB_UNIT_CP,"cp","cp"
HUB_DONATE_BTN,"Donate","Doneer"
HUB_DONATE_DONE_BTN,"Done donating","Klaar met doneren"
HUB_WILL_TITLE,"You have fallen. Bequeath at most half to at most 2 recipients — the rest burns.","Je bent uitgevallen. Laat maximaal de helft na aan maximaal 2 ontvangers — de rest verbrandt."
HUB_WILL_TARGET,"%s (team %d)","%s (team %d)"
HUB_WILL_HALF_BTN,"Leave half to this player","Laat de helft na aan deze speler"
