keys,en,nl
DOCTRINE_0_NAME,"Pig","Varken"
DOCTRINE_0_PRO,"All-rounder with no weaknesses","Allrounder zonder zwaktes"
DOCTRINE_0_CON,"Best at nothing","Nergens de beste in"
DOCTRINE_1_NAME,"Mouse","Muis"
DOCTRINE_1_PRO,"The most cards in the game, +1 Speed on every mouse, moves through own pawns (swarm)","De meeste kaarten van het spel, +1 Speed op elke muis, beweegt door eigen pionnen (zwerm)"
DOCTRINE_1_CON,"The lowest card budget: weak stats, and no cannons","Het laagste kaartbudget: zwakke stats, en geen kanonnen"
DOCTRINE_2_NAME,"Lion","Leeuw"
DOCTRINE_2_PRO,"The highest card budget: monster cards, and cannons with range 7","Het hoogste kaartbudget: monsterkaarten, en kanonnen met dracht 7"
DOCTRINE_2_CON,"Only two cards per round, so rarely more than a handful of pawns awake","Maar twee kaarten per ronde, dus zelden meer dan een handvol pionnen wakker"
DOCTRINE_3_NAME,"Bear","Beer"
DOCTRINE_3_PRO,Every link grants a free +1 HP: pawns nothing gets through,Elke koppeling gratis +1 HP: pionnen waar niets doorheen komt
DOCTRINE_3_CON,Card Speed never goes above 4: slow across the board,Kaart-Speed gaat nooit boven 4: traag over het bord
DOCTRINE_4_NAME,"Wolf","Wolf"
DOCTRINE_4_PRO,Free step after every melee; fast cavalry that also jumps over enemy infantry,Gratis stap na elke melee; snelle cavalerie die ook over vijandelijke infanterie springt
DOCTRINE_4_CON,That step does not apply after shots; light composition,Die stap geldt niet na schoten; lichte samenstelling
DOCTRINE_5_NAME,"Crocodile","Krokodil"
DOCTRINE_5_PRO,Camouflage: the link stays secret until the first damage (ambush),Schutkleur: de koppeling blijft geheim tot de eerste schade (hinderlaag)
DOCTRINE_5_CON,Tight card budget: weaker cards than most; the cards themselves are public,Krap kaartbudget: zwakkere kaarten dan de meeste; de kaarten zelf zijn openbaar
UNIT_INFANTRY,"Infantry","Infanterie"
UNIT_CAVALRY,"Cavalry","Cavalerie"
UNIT_ARTILLERY,"Artillery","Artillerie"
